dateSolarHijri,dateGregorian,IRR_USD,source
1360/07/07,1981-09-29,270,bourseview
1360/07/08,1981-09-30,270,bourseview
1360/07/09,1981-10-01,270,bourseview
1360/07/11,1981-10-03,270,bourseview
1360/07/12,1981-10-04,270,bourseview
1360/07/13,1981-10-05,270,bourseview
1360/07/14,1981-10-06,270,bourseview
1360/07/15,1981-10-07,270,bourseview
1360/07/16,1981-10-08,270,bourseview
1360/07/18,1981-10-10,270,bourseview
1360/07/19,1981-10-11,270,bourseview
1360/07/20,1981-10-12,270,bourseview
1360/07/21,1981-10-13,270,bourseview
1360/07/22,1981-10-14,270,bourseview
1360/07/23,1981-10-15,270,bourseview
1360/07/25,1981-10-17,270,bourseview
1360/07/26,1981-10-18,270,bourseview
1360/07/27,1981-10-19,270,bourseview
1360/07/28,1981-10-20,270,bourseview
1360/07/29,1981-10-21,270,bourseview
1360/07/30,1981-10-22,270,bourseview
1360/08/02,1981-10-24,270,bourseview
1360/08/03,1981-10-25,270,bourseview
1360/08/04,1981-10-26,270,bourseview
1360/08/05,1981-10-27,270,bourseview
1360/08/06,1981-10-28,270,bourseview
1360/08/07,1981-10-29,270,bourseview
1360/08/09,1981-10-31,270,bourseview
1360/08/10,1981-11-01,270,bourseview
1360/08/11,1981-11-02,270,bourseview
1360/08/12,1981-11-03,270,bourseview
1360/08/13,1981-11-04,270,bourseview
1360/08/14,1981-11-05,270,bourseview
1360/08/16,1981-11-07,270,bourseview
1360/08/17,1981-11-08,270,bourseview
1360/08/18,1981-11-09,270,bourseview
1360/08/19,1981-11-10,270,bourseview
1360/08/20,1981-11-11,270,bourseview
1360/08/21,1981-11-12,270,bourseview
1360/08/23,1981-11-14,270,bourseview
1360/08/24,1981-11-15,270,bourseview
1360/08/25,1981-11-16,270,bourseview
1360/08/26,1981-11-17,270,bourseview
1360/08/27,1981-11-18,270,bourseview
1360/08/28,1981-11-19,270,bourseview
1360/08/30,1981-11-21,270,bourseview
1360/09/01,1981-11-22,270,bourseview
1360/09/02,1981-11-23,270,bourseview
1360/09/03,1981-11-24,270,bourseview
1360/09/04,1981-11-25,270,bourseview
1360/09/05,1981-11-26,270,bourseview
1360/09/07,1981-11-28,270,bourseview
1360/09/08,1981-11-29,270,bourseview
1360/09/09,1981-11-30,270,bourseview
1360/09/10,1981-12-01,270,bourseview
1360/09/11,1981-12-02,270,bourseview
1360/09/12,1981-12-03,270,bourseview
1360/09/14,1981-12-05,270,bourseview
1360/09/15,1981-12-06,270,bourseview
1360/09/16,1981-12-07,270,bourseview
1360/09/17,1981-12-08,270,bourseview
1360/09/18,1981-12-09,270,bourseview
1360/09/19,1981-12-10,270,bourseview
1360/09/21,1981-12-12,270,bourseview
